time,count
2017-11-24-09:47:0,69317
2017-11-24-09:48:0,70075
2017-11-24-09:49:0,67884
2017-11-24-09:50:0,69538
2017-11-24-09:51:0,69525
2017-11-24-09:52:0,64365
2017-11-24-09:53:0,65757
2017-11-24-09:54:0,65873
2017-11-24-09:55:0,66515
2017-11-24-09:56:0,65762
2017-11-24-09:57:0,66897
2017-11-24-09:58:0,69922
2017-11-24-09:59:0,68864
2017-11-24-10:00:0,79065
2017-11-24-10:01:0,72113
2017-11-24-10:02:0,70659
2017-11-24-10:03:0,67515
2017-11-24-10:04:0,69634
2017-11-24-10:05:0,73537
2017-11-24-10:06:0,68965
2017-11-24-10:07:0,67834
2017-11-24-10:08:0,67643
2017-11-24-10:09:0,72538
2017-11-24-10:10:0,69195
2017-11-24-10:11:0,68199
2017-11-24-10:12:0,69262
2017-11-24-10:13:0,69498
2017-11-24-10:14:0,68627
2017-11-24-10:15:0,72035
2017-11-24-10:16:0,71008
2017-11-24-10:17:0,70867
2017-11-24-10:18:0,68073
2017-11-24-10:19:0,68985
2017-11-24-10:20:0,68761
2017-11-24-10:21:0,67819
2017-11-24-10:22:0,65333
2017-11-24-10:23:0,67463
2017-11-24-10:24:0,71478
2017-11-24-10:25:0,66684
2017-11-24-10:26:0,66116
2017-11-24-10:27:0,70135
2017-11-24-10:28:0,71910
2017-11-24-10:29:0,67019
2017-11-24-10:30:0,71217
2017-11-24-10:31:0,74086
2017-11-24-10:32:0,75416
2017-11-24-10:33:0,71906
2017-11-24-10:34:0,71500
2017-11-24-10:35:0,74117
2017-11-24-10:36:0,70612
2017-11-24-10:37:0,70270
2017-11-24-10:38:0,69211
2017-11-24-10:39:0,76508
2017-11-24-10:40:0,66540
2017-11-24-10:41:0,73023
2017-11-24-10:42:0,68801
2017-11-24-10:43:0,70917
2017-11-24-10:44:0,67908
2017-11-24-10:45:0,71323
2017-11-24-10:46:0,65341
2017-11-24-10:47:0,70558
2017-11-24-10:48:0,69862
2017-11-24-10:49:0,66726
2017-11-24-10:50:0,68984
2017-11-24-10:51:0,66920
2017-11-24-10:52:0,68586
2017-11-24-10:53:0,69115
2017-11-24-10:54:0,68303
2017-11-24-10:55:0,65037
2017-11-24-10:56:0,66728
2017-11-24-10:57:0,73505
2017-11-24-10:58:0,73798
2017-11-24-10:59:0,71776
2017-11-24-11:00:0,68802
2017-11-24-11:01:0,72950
2017-11-24-11:02:0,70087
2017-11-24-11:03:0,72618
2017-11-24-11:04:0,71317
2017-11-24-11:05:0,72073
2017-11-24-11:06:0,73611
2017-11-24-11:07:0,67268
2017-11-24-11:08:0,68966
2017-11-24-11:09:0,67528
2017-11-24-11:10:0,69530
2017-11-24-11:11:0,63508
2017-11-24-11:12:0,70224
2017-11-24-11:13:0,66478
2017-11-24-11:14:0,68261
2017-11-24-11:15:0,71304
2017-11-24-11:16:0,70274
2017-11-24-11:17:0,69723
2017-11-24-11:18:0,70745
2017-11-24-11:19:0,65794
2017-11-24-11:20:0,64536
2017-11-24-11:21:0,64082
2017-11-24-11:22:0,65139
2017-11-24-11:23:0,62353
2017-11-24-11:24:0,68297
2017-11-24-11:25:0,67503
2017-11-24-11:26:0,63386
2017-11-24-11:27:0,63873
2017-11-24-11:28:0,62000
2017-11-24-11:29:0,62733
2017-11-24-11:30:0,61993
2017-11-24-11:31:0,60659
2017-11-24-11:32:0,59472
2017-11-24-11:33:0,63816
2017-11-24-11:34:0,58127
2017-11-24-11:35:0,62866
2017-11-24-11:36:0,61322
2017-11-24-11:37:0,61696
2017-11-24-11:38:0,58314
2017-11-24-11:39:0,64220
2017-11-24-11:40:0,59136
2017-11-24-11:41:0,60861
2017-11-24-11:42:0,57284
2017-11-24-11:43:0,58089
2017-11-24-11:44:0,58896
2017-11-24-11:45:0,54706
2017-11-24-11:46:0,53597
2017-11-24-11:47:0,54790
2017-11-24-11:48:0,55786
2017-11-24-11:49:0,56481
2017-11-24-11:50:0,56094
2017-11-24-11:51:0,55375
2017-11-24-11:52:0,53165
2017-11-24-11:53:0,54616
2017-11-24-11:54:0,54357
2017-11-24-11:55:0,59244
2017-11-24-11:56:0,52522
2017-11-24-11:57:0,49674
2017-11-24-11:58:0,54837
2017-11-24-11:59:0,716
2017-11-24-12:00:0,48531
2017-11-24-12:01:0,50620
2017-11-24-12:02:0,47622
2017-11-24-12:03:0,50254
2017-11-24-12:04:0,50867
2017-11-24-12:05:0,46971
2017-11-24-12:06:0,48596
2017-11-24-12:07:0,46281
2017-11-24-12:08:0,52730
2017-11-24-12:09:0,47592
2017-11-24-12:10:0,46491
2017-11-24-12:11:0,44578
2017-11-24-12:12:0,52374
2017-11-24-12:13:0,41536
2017-11-24-12:14:0,45641
2017-11-24-12:15:0,41349
2017-11-24-12:16:0,42155
2017-11-24-12:17:0,42492
2017-11-24-12:18:0,42574
2017-11-24-12:19:0,44781
2017-11-24-12:20:0,46395
2017-11-24-12:21:0,42212
2017-11-24-12:22:0,46089
2017-11-24-12:23:0,45640
2017-11-24-12:24:0,45249
2017-11-24-12:25:0,44790
2017-11-24-12:26:0,45935
2017-11-24-12:27:0,45810
2017-11-24-12:28:0,44024
2017-11-24-12:29:0,40112
2017-11-24-12:30:0,42661
2017-11-24-12:31:0,42090
2017-11-24-12:32:0,42422
2017-11-24-12:33:0,45993
2017-11-24-12:34:0,50433
2017-11-24-12:35:0,45407
2017-11-24-12:36:0,46699
2017-11-24-12:37:0,46124
2017-11-24-12:38:0,50209
2017-11-24-12:39:0,48395
2017-11-24-12:40:0,46322
2017-11-24-12:41:0,48251
2017-11-24-12:42:0,47539
2017-11-24-12:43:0,46739
2017-11-24-12:44:0,52516
2017-11-24-12:45:0,53020
2017-11-24-12:46:0,49543
2017-11-24-12:47:0,49068
2017-11-24-12:48:0,48795
2017-11-24-12:49:0,50869
2017-11-24-12:50:0,48887
2017-11-24-12:51:0,49638
2017-11-24-12:52:0,49006
2017-11-24-12:53:0,51586
2017-11-24-12:54:0,49150
2017-11-24-12:55:0,47577
2017-11-24-12:56:0,49463
2017-11-24-12:57:0,49569
2017-11-24-12:58:0,50044
2017-11-24-12:59:0,54333
2017-11-24-13:00:0,52496
2017-11-24-13:01:0,45620
2017-11-24-13:02:0,47901
2017-11-24-13:03:0,48054
2017-11-24-13:04:0,50665
2017-11-24-13:05:0,47481
2017-11-24-13:06:0,49001
2017-11-24-13:07:0,46598
2017-11-24-13:08:0,47735
2017-11-24-13:09:0,45014
2017-11-24-13:10:0,49385
2017-11-24-13:11:0,48147
2017-11-24-13:12:0,46694
2017-11-24-13:13:0,44550
2017-11-24-13:14:0,49670
2017-11-24-13:15:0,48007
2017-11-24-13:16:0,45923
2017-11-24-13:17:0,49684
2017-11-24-13:18:0,47849
2017-11-24-13:19:0,46630
2017-11-24-13:20:0,47479
2017-11-24-13:21:0,49324
2017-11-24-13:22:0,45570
2017-11-24-13:23:0,45088
2017-11-24-13:24:0,47565
2017-11-24-13:25:0,48141
2017-11-24-13:26:0,49206
2017-11-24-13:27:0,51293
2017-11-24-13:28:0,49081
2017-11-24-13:29:0,46316
2017-11-24-13:30:0,45693
2017-11-24-13:31:0,44041
2017-11-24-13:32:0,47328
2017-11-24-13:33:0,44294
2017-11-24-13:34:0,42784
2017-11-24-13:35:0,44817
2017-11-24-13:36:0,47113
2017-11-24-13:37:0,50125
2017-11-24-13:38:0,45360
2017-11-24-13:39:0,47332
2017-11-24-13:40:0,48074
2017-11-24-13:41:0,45958
2017-11-24-13:42:0,49370
2017-11-24-13:43:0,51210
2017-11-24-13:44:0,48256
2017-11-24-13:45:0,49297
2017-11-24-13:46:0,51194
2017-11-24-13:47:0,50538
2017-11-24-13:48:0,48337
2017-11-24-13:49:0,47193
2017-11-24-13:50:0,46481
2017-11-24-13:51:0,44558
2017-11-24-13:52:0,46786
2017-11-24-13:53:0,45504
2017-11-24-13:54:0,49175
2017-11-24-13:55:0,48354
2017-11-24-13:56:0,47331
2017-11-24-13:57:0,49586
2017-11-24-13:58:0,50385
2017-11-24-13:59:0,46995
2017-11-24-14:00:0,49621
2017-11-24-14:01:0,48151
2017-11-24-14:02:0,48354
2017-11-24-14:03:0,49694
2017-11-24-14:04:0,51489
2017-11-24-14:05:0,50017
2017-11-24-14:06:0,52197
2017-11-24-14:07:0,49133
2017-11-24-14:08:0,53031
2017-11-24-14:09:0,57545
2017-11-24-14:10:0,50293
2017-11-24-14:11:0,52205
2017-11-24-14:12:0,55541
2017-11-24-14:13:0,58352
2017-11-24-14:14:0,53097
2017-11-24-14:15:0,52838
2017-11-24-14:16:0,52351
2017-11-24-14:17:0,57256
2017-11-24-14:18:0,53163
2017-11-24-14:19:0,53998
2017-11-24-14:20:0,59107
2017-11-24-14:21:0,57641
2017-11-24-14:22:0,54348
2017-11-24-14:23:0,57861
2017-11-24-14:24:0,57737
2017-11-24-14:25:0,58152
